Vegetable Category;Vegetable;10.11.2020;17.11.2020;24.11.2020;01.12.2020;08.12.2020;15.12.2020;22.12.2020;29.12.2020;05.01.2021;12.01.2021;19.01.2021;26.01.2021;02.02.2021;09.02.2021;16.02.2021;23.02.2021;02.03.2021;09.03.2021;16.03.2021;23.03.2021;30.03.2021;06.04.2021;13.04.2021;20.04.2021;27.04.2021;04.05.2021;11.05.2021;18.05.2021;25.05.2021;01.06.2021;08.06.2021;15.06.2021;22.06.2021;29.06.2021;06.07.2021;13.07.2021;20.07.2021;27.07.2021;03.08.2021;10.08.2021;17.08.2021;24.08.2021;31.08.2021;07.09.2021;14.09.2021;21.09.2021;28.09.2021;05.10.2021;12.10.2021;19.10.2021;26.10.2021;02.11.2021;09.11.2021;16.11.2021;23.11.2021;30.11.2021;07.12.2021;14.12.2021;21.12.2021;28.12.2021;;Total;Average
Cabbage;Red Cabbage;1024;;;;;;450;;;;;862;;;;1503;;;936;;902;607;815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;601;;;;;;;;7700;856
Cabbage;Chinacabbage;;;844;;;1092;;;;932;;;;;;;;;;522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1098;;;;;;;;;;;;4488;898
Cabbage;White Cabbage;;;;;;;;;;;;;;735;;;;737;;1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2475;825
Cabbage;Kale;;;;;;;;;;;;;;;;434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;434;434
Cabbage;Green Cabbage;;;;;;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;697;697
Cabbage;Brusselsprouts;;;;;976;;450;;;416;;;;412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2254;564
Choucroutte;Choucroutte;500;;;;;;;;;;;679;;;;;;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1577;526
Potato;Potato (Brown);;814;;;;;;;;;;;;;;;;;;;;;1081;;;;1051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2946;982
Potato;Potato (Yellow);;;;907;;;;;;;;1174;;;;1078;;818;;815;;825;;957;1078;1047;;;;;;677;773;602;601;661;707;611;;;848;865;;881;;731;806;;;;;1225;;787;;;;;;;;19474;847
Potato;Potato (Purple);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;;;;;;;;;;;;;;;;;;;;
Potato;Potato (Red);761;;601;;583;;550;;;1033;;;;874;;;;;845;;847;;;;;;;;;;;;;;;;;;;;;;;;848;;;944;;;;;;;;;;;;;;7886;789
Potato;Sweet Potato;561;;;862;;;;;;;;841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2264;755
Root Vegetable;Carrots (Multicolour);900;;;;;;400;;;;;608;;;;;;373;889;;;;1002;;;;;;;;;;;;;;;;;;680;;;;;;;;;;;;;;;;;;;;;4852;693
Root Vegetable;Carrots (Orange);128;839;1297;790;861;;;;;952;;358;;1066;;1212;;682;165;1155;1023;892;;945;810;776;817;;;300;304;;;712;;611;649;646;;;;;821;645;678;716;;596;;;927;;559;609;;;;;;;;23541;736
Root Vegetable;Parsnip;;;;;;;;;;;;584;;;;;;654;;504;;543;;;;;;;;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3135;627
Root Vegetable;Turnip;;;;;;;;;;;;1437;;;;;;;;;139;;;;;;;;;;;;;;;;;;;;;;;697;;;;;;;;;;;;;;;;;;2273;758
Root Vegetable;Wurzelpeterli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Root Vegetable;Beetroot;;;801;;744;;;;;;;814;;;;963;;;519;;676;;673;;;;;;;;;;;;;;;;;;;;;121;;;578;;;;;;;;;;;;;;;5889;654
Root Vegetable;Radishes;;147;127;150;164;;;;;;;;;;;146;;;;163;;;;205;184;;194;;;;;;;203;;;;;;;;190;;211;236;225;600;303;;232;;;;;;;;;;;;3680;216
Root Vegetable;Rettich;;;;;;203;;;;;;;;588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;;552;;;;;;;;;1693;423
Root Vegetable;Salsify;;925;;;;;;;;689;;;;550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2164;721
Root Vegetable;Kohlrabi;;;;;;;;;;;;;;;;;;;;;;;;613;;1136;692;;;500;;;;;;481;;;;;;;;;;;;;;;579;;;;;;;;;;;4001;667
Root Vegetable;Giant Kohlrabi;;;;;;1800;;;;;;;;;;956;;;934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3690;1230
Squash;Rondini;525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;559;;;;;;;;;;;;;;;;;;1084;542
Squash;Zucchini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;246;;1036;;523;447;546;;;790;624;;494;409;;;;;;;;;;;;;;;;;5115;568
Squash;Pumpkin ;;1153;809;;;714;;;;1277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;479;542;;529;;1147;;;;;;;;;;;;6650;831
Squash;Butternut Pumpkin;;;;637;;;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1287;644
